Round,loss,alive,min_battery,tau_round_s,tau_status,tau_a2r,tau_r2r,tau_r2g,tau_comp,tau_svd,tau_cumul_s,avg_payload_kb,payload_cumul_kb,e_total,e_a2r,e_r2r,e_r2g,e_a2r_rx,e_r2r_rx,e_r2g_rx,e_rx,e_comp,e_svd,e_cumul,lambda_e,lambda_tau,objective_loss,physical_joint_cost_round,physical_joint_cost_cumul,joint_cost_round,joint_cost_cumul,server_mix_beta,auv_train_metrics,kd_active,kd_epochs,kd_box,kd_kl,kd_lora,kd_stu_loss,kd_scale,kd_ratio,kd_contrib,kd_total,kd_cls_contrib,kd_box_contrib,kd_proj_contrib,kd_weighted,kd_last_epoch,kd_epoch_history,mAP50-95,mAP50,Prec,Rec,pre_kd_mAP50-95,pre_kd_mAP50,pre_kd_Prec,pre_kd_Rec,KD_Box,KD_KL,KD_LoRA_Proj,KD_KD_Ratio,KD_KD_Contrib,KD_Total,kd_skip_reason
21,3.3921,29.0,inf,1091.9669,OK,299.6116,299.3921,299.6004,193.575,0.0014,24023.3419,504.8711,11107.1641,2549.5251,1312.1249,361.0323,362.8133,433.3848,119.5544,119.5544,672.4937,513.5501,0.0045,55078.8251,0.005,0.01,3.3852,23.6673,515.6275,27.3215,602.2249,0.9,{},False,0.0,1.176096296642502,1.176096296642502,0.0,7.840641977616677,1.0,0.3,2.352192593285004,10.192834570901681,,,,0.0,,,0.3598,0.6441,0.7552,0.5855,0.3598,0.6441,0.7552,0.5855,1.176096296642502,1.176096296642502,0.0,0.3,2.352192593285004,10.192834570901681,stopped
22,3.4119,29.0,inf,1091.9669,OK,299.611,299.3921,299.6004,193.575,0.0014,25115.3088,504.8711,11612.0352,2549.5296,1312.1294,361.0323,362.8133,433.3848,119.5544,119.5544,672.4937,513.5501,0.0045,57628.3547,0.005,0.01,3.3673,23.6673,539.2949,27.2738,629.4987,0.9,{},False,0.0,1.172997029227567,1.172997029227567,0.0,7.819980194850445,1.0,0.3,2.345994058455134,10.16597425330558,,,,0.0,,,0.3548,0.6406,0.7486,0.5789,0.3548,0.6406,0.7486,0.5789,1.172997029227567,1.172997029227567,0.0,0.3,2.345994058455134,10.16597425330558,stopped
23,3.3612,29.0,inf,1091.9667,OK,299.6102,299.3921,299.6004,193.575,0.0014,26207.2755,504.8711,12116.9062,2549.5304,1312.1302,361.0323,362.8133,433.3848,119.5544,119.5544,672.4937,513.5501,0.0045,60177.8851,0.005,0.01,3.4157,23.6673,562.9622,27.3323,656.8311,0.9,{},False,0.0,1.1703294650424585,1.1703294650424585,0.0,7.802196433616389,1.0,0.3,2.340658930084917,10.142855363701306,,,,0.0,,,0.3537,0.6417,0.7606,0.5843,0.3537,0.6417,0.7606,0.5843,1.1703294650424585,1.1703294650424585,0.0,0.3,2.340658930084917,10.142855363701306,stopped
24,3.4207,29.0,inf,1091.9667,OK,299.6097,299.3921,299.6004,193.575,0.0014,27299.2422,504.8711,12621.7773,2549.5321,1312.1319,361.0323,362.8133,433.3848,119.5544,119.5544,672.4937,513.5501,0.0045,62727.4172,0.005,0.01,3.3826,23.6673,586.6295,27.2915,684.1226,0.9,{},False,0.0,1.1680334712707099,1.1680334712707099,0.0,7.786889808471397,1.0,0.3,2.3360669425414198,10.122956751012817,,,,0.0,,,0.3559,0.6412,0.7502,0.5832,0.3559,0.6412,0.7502,0.5832,1.1680334712707099,1.1680334712707099,0.0,0.3,2.3360669425414198,10.122956751012817,stopped
25,3.3921,29.0,inf,1091.9667,OK,299.6091,299.3921,299.6004,193.575,0.0014,28391.2089,504.8711,13126.6484,2549.5351,1312.1349,361.0323,362.8133,433.3848,119.5544,119.5544,672.4937,513.5501,0.0045,65276.9523,0.005,0.01,3.391,23.6673,610.2969,27.2904,711.413,0.9,{},False,0.0,1.1660572911175433,1.1660572911175433,0.0,7.773715274116955,1.0,0.3,2.3321145822350866,10.105829856352042,,,,0.0,,,0.3564,0.6431,0.7545,0.5824,0.3564,0.6431,0.7545,0.5824,1.1660572911175433,1.1660572911175433,0.0,0.3,2.3321145822350866,10.105829856352042,stopped
26,3.3741,29.0,inf,1091.9667,OK,299.6088,299.3921,299.6004,193.575,0.0014,29483.1756,504.8711,13631.5195,2549.5403,1312.1401,361.0323,362.8133,433.3848,119.5544,119.5544,672.4937,513.5501,0.0045,67826.4926,0.005,0.01,3.3657,23.6674,633.9642,27.2814,738.6944,0.9,{},False,0.0,1.1643563770968601,1.1643563770968601,0.0,7.7623758473124,1.0,0.3,2.3287127541937203,10.09108860150612,,,,0.0,,,0.3558,0.6444,0.7774,0.5758,0.3558,0.6444,0.7774,0.5758,1.1643563770968601,1.1643563770968601,0.0,0.3,2.3287127541937203,10.09108860150612,stopped
27,3.4445,29.0,inf,1091.9668,OK,299.6082,299.3921,299.6004,193.575,0.0014,30575.1424,504.8711,14136.3906,2549.5455,1312.1453,361.0323,362.8133,433.3848,119.5544,119.5544,672.4937,513.5501,0.0045,70376.0382,0.005,0.01,3.4376,23.6674,657.6316,27.2742,765.9686,0.9,{},False,0.0,1.1628923868320449,1.1628923868320449,0.0,7.752615912213631,1.0,0.3,2.3257847736640898,10.078400685877721,,,,0.0,,,0.3552,0.6449,0.7648,0.5769,0.3552,0.6449,0.7648,0.5769,1.1628923868320449,1.1628923868320449,0.0,0.3,2.3257847736640898,10.078400685877721,stopped
28,3.4022,29.0,inf,1091.9667,OK,299.6077,299.3921,299.6004,193.575,0.0014,31667.1091,504.8711,14641.2617,2549.5487,1312.1485,361.0323,362.8133,433.3848,119.5544,119.5544,672.4937,513.5501,0.0045,72925.5868,0.005,0.01,3.3964,23.6674,681.299,27.268,793.2367,0.9,{},False,0.0,1.1616323187337096,1.1616323187337096,0.0,7.74421545822473,1.0,0.3,2.3232646374674193,10.067480095692149,,,,0.0,,,0.3576,0.6457,0.7595,0.5853,0.3576,0.6457,0.7595,0.5853,1.1616323187337096,1.1616323187337096,0.0,0.3,2.3232646374674193,10.067480095692149,stopped
29,3.4093,29.0,inf,1091.9665,OK,299.6071,299.3921,299.6004,193.575,0.0014,32759.0756,504.8711,15146.1328,2549.5491,1312.1489,361.0323,362.8133,433.3848,119.5544,119.5544,672.4937,513.5501,0.0045,75475.1359,0.005,0.01,3.4408,23.6674,704.9664,27.3012,820.5378,0.9,{},False,0.0,1.160547768070634,1.160547768070634,0.0,7.736985120470891,1.0,0.3,2.321095536141268,10.058080656612159,,,,0.0,,,0.3533,0.6394,0.759,0.5782,0.3533,0.6394,0.759,0.5782,1.160547768070634,1.160547768070634,0.0,0.3,2.321095536141268,10.058080656612159,stopped
30,3.4026,29.0,inf,1091.9664,OK,299.6064,299.3921,299.6004,193.575,0.0014,33851.0421,504.8711,15651.0039,2549.5502,1312.15,361.0323,362.8133,433.3848,119.5544,119.5544,672.4937,513.5501,0.0045,78024.6861,0.005,0.01,3.37,23.6674,728.6339,27.2664,847.8042,0.9,{},False,0.0,1.1596142866640875,1.1596142866640875,0.0,7.730761911093916,1.0,0.3,2.319228573328175,10.049990484422091,,,,0.0,,,0.353,0.6401,0.7593,0.5819,0.353,0.6401,0.7593,0.5819,1.1596142866640875,1.1596142866640875,0.0,0.3,2.319228573328175,10.049990484422091,stopped
