Round,loss,alive,min_battery,tau_round_s,tau_status,tau_a2r,tau_r2r,tau_r2g,tau_comp,tau_cumul_s,avg_payload_kb,payload_cumul_kb,e_total,e_a2r,e_r2r,e_r2g,e_comp,e_cumul,lambda_e,lambda_tau,joint_cost_round,joint_cost_cumul,pre_kd_mAP50-95,pre_kd_mAP50,pre_kd_Prec,pre_kd_Rec,kd_active,kd_epochs,kd_box,kd_kl,kd_lora,kd_weighted,mAP50-95,mAP50,Prec,Rec
1,5.4992,30.0000,1481.6864,1135.7925,OK,63.4324,248.4045,248.5029,575.5050,1135.7925,106.0117,106.0117,243.7567,97.0798,25.8177,51.3757,69.4834,243.7567,0.0010,0.0010,6.8787,6.8787,0.1105,0.2269,0.5743,0.2352,True,2.0000,2.5014,0.4572,0.1450,15.0283,0.1144,0.2354,0.3084,0.2579
2,5.3062,30.0000,1463.3728,1135.7930,OK,63.4323,248.4045,248.5029,575.5050,2271.5854,106.0117,212.0234,243.7579,97.0810,25.8177,51.3757,69.4834,487.5146,0.0010,0.0010,6.6857,13.5644,0.1215,0.2446,0.3360,0.2513,True,2.0000,2.2914,0.4444,0.1397,14.8516,0.1211,0.2470,0.3037,0.2769
3,5.0958,30.0000,1445.0593,1135.7928,OK,63.4324,248.4045,248.5029,575.5050,3407.3782,106.0117,318.0352,243.7590,97.0821,25.8177,51.3757,69.4834,731.2736,0.0010,0.0010,6.4753,20.0398,0.1273,0.2548,0.3360,0.2621,True,2.0000,2.4053,0.4301,0.1425,14.7961,0.1344,0.2732,0.3133,0.2990
