Round,loss,alive,min_battery,tau_round_s,tau_status,tau_a2r,tau_r2r,tau_r2g,tau_comp,tau_cumul_s,avg_payload_kb,payload_cumul_kb,e_total,e_a2r,e_r2r,e_r2g,e_comp,e_cumul,lambda_e,lambda_tau,joint_cost_round,joint_cost_cumul,pre_kd_mAP50-95,pre_kd_mAP50,pre_kd_Prec,pre_kd_Rec,kd_active,kd_epochs,kd_box,kd_kl,kd_lora,kd_weighted,mAP50-95,mAP50,Prec,Rec
1,5.5426,30.0000,1486.7185,943.9575,OK,63.4324,248.4045,248.5029,383.6700,943.9575,106.0117,106.0117,220.5956,97.0798,25.8177,51.3757,46.3223,220.5956,0.0010,0.0010,6.7071,6.7071,0.1092,0.2222,0.5502,0.2470,True,2.0000,2.2943,0.4604,0.1538,15.7122,0.1093,0.2261,0.3018,0.2495
2,5.4809,30.0000,1473.4370,943.9580,OK,63.4323,248.4045,248.5029,383.6700,1887.9154,106.0117,212.0234,220.5968,97.0810,25.8177,51.3757,46.3223,441.1923,0.0010,0.0010,6.6455,13.3526,0.1148,0.2347,0.5563,0.2608,True,2.0000,2.0186,0.4580,0.1517,15.4682,0.1125,0.2318,0.3193,0.2486
3,5.3686,30.0000,1460.1556,943.9578,OK,63.4324,248.4045,248.5029,383.6700,2831.8732,106.0117,318.0352,220.5979,97.0821,25.8177,51.3757,46.3223,661.7902,0.0010,0.0010,6.5331,19.8857,0.1174,0.2379,0.5712,0.2575,True,2.0000,1.9283,0.4563,0.1477,15.3353,0.1146,0.2364,0.3096,0.2613
