epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,16776.4,1.38527,0.84069,1.17858,0.77512,0.67921,0.74378,0.42113,1.54588,0.97049,1.18777,0.0005941,0.0005941,0.0005941
43,17111.3,1.373,0.82717,1.17798,0.79718,0.67197,0.75147,0.42863,1.52981,0.92886,1.17983,0.0005842,0.0005842,0.0005842
44,17487.3,1.37891,0.82426,1.17862,0.78768,0.67406,0.74305,0.42531,1.52904,0.92594,1.17555,0.0005743,0.0005743,0.0005743
45,17826.9,1.37326,0.81808,1.1685,0.79186,0.67473,0.74567,0.42165,1.53807,0.94391,1.18069,0.0005644,0.0005644,0.0005644
46,18143.4,1.35886,0.81267,1.17209,0.78561,0.68089,0.74765,0.42562,1.52256,0.92001,1.17313,0.0005545,0.0005545,0.0005545
47,18488.4,1.36687,0.81404,1.16979,0.80129,0.66344,0.7422,0.42302,1.54335,0.95376,1.18138,0.0005446,0.0005446,0.0005446
48,18843.8,1.35389,0.79888,1.16371,0.77324,0.68359,0.74336,0.42309,1.54241,0.94094,1.1857,0.0005347,0.0005347,0.0005347
49,19214.8,1.34796,0.78747,1.16227,0.78111,0.67767,0.7467,0.42671,1.52632,0.9207,1.17792,0.0005248,0.0005248,0.0005248
50,19588.7,1.3372,0.78316,1.15746,0.77971,0.68081,0.7448,0.42576,1.53631,0.91962,1.18083,0.0005149,0.0005149,0.0005149
51,19966.4,1.34434,0.7814,1.1575,0.78268,0.69092,0.74901,0.4271,1.5336,0.92616,1.17629,0.000505,0.000505,0.000505
52,20354.3,1.34434,0.78488,1.15538,0.79382,0.67085,0.75522,0.43279,1.5315,0.91405,1.17725,0.0004951,0.0004951,0.0004951
53,20753.7,1.33741,0.77673,1.15405,0.77896,0.67698,0.74943,0.42675,1.53915,0.93091,1.18186,0.0004852,0.0004852,0.0004852
54,21142.8,1.32699,0.77379,1.15637,0.78906,0.68517,0.75651,0.43372,1.52173,0.92477,1.17703,0.0004753,0.0004753,0.0004753
55,21515.1,1.3272,0.76331,1.14981,0.7874,0.68262,0.75087,0.43176,1.53075,0.9129,1.17744,0.0004654,0.0004654,0.0004654
56,21916.7,1.324,0.76451,1.15358,0.7941,0.67949,0.74939,0.43366,1.51728,0.92063,1.17105,0.0004555,0.0004555,0.0004555
57,22295.8,1.32208,0.76498,1.14987,0.78075,0.69115,0.75451,0.43191,1.52818,0.91328,1.17409,0.0004456,0.0004456,0.0004456
58,22668.5,1.32123,0.74506,1.14084,0.8044,0.67609,0.75011,0.43004,1.52647,0.90623,1.17671,0.0004357,0.0004357,0.0004357
59,23055.5,1.31069,0.73766,1.13985,0.79441,0.68331,0.75083,0.42535,1.54755,0.918,1.189,0.0004258,0.0004258,0.0004258
60,23439.6,1.30588,0.73646,1.1396,0.78355,0.68253,0.74609,0.42685,1.53836,0.92415,1.18127,0.0004159,0.0004159,0.0004159
61,23838.2,1.30145,0.73024,1.13335,0.78317,0.68709,0.7504,0.42776,1.53387,0.91519,1.17822,0.000406,0.000406,0.000406
62,24192,1.29145,0.72064,1.13252,0.79605,0.68514,0.75122,0.4291,1.53211,0.91028,1.18159,0.0003961,0.0003961,0.0003961
63,24594,1.28971,0.72036,1.13142,0.79261,0.67808,0.7522,0.43029,1.53161,0.90399,1.18074,0.0003862,0.0003862,0.0003862
64,24971.9,1.28836,0.711,1.12523,0.79869,0.67547,0.75042,0.43015,1.52974,0.91307,1.18007,0.0003763,0.0003763,0.0003763
65,25361.5,1.28327,0.7035,1.13064,0.8068,0.66824,0.75766,0.43426,1.5379,0.8906,1.1834,0.0003664,0.0003664,0.0003664
66,25725.3,1.27455,0.69557,1.12505,0.79367,0.6869,0.75968,0.43614,1.53305,0.89635,1.17966,0.0003565,0.0003565,0.0003565
67,26043.8,1.26851,0.69453,1.11606,0.78869,0.69193,0.76055,0.43379,1.53633,0.90184,1.18198,0.0003466,0.0003466,0.0003466
68,26351.7,1.27188,0.69595,1.1237,0.79528,0.68756,0.75921,0.43757,1.53095,0.89746,1.18102,0.0003367,0.0003367,0.0003367
69,26684.6,1.27305,0.69463,1.12145,0.78463,0.69377,0.76386,0.43914,1.52865,0.88447,1.18221,0.0003268,0.0003268,0.0003268
70,27026.9,1.26368,0.68445,1.11799,0.78131,0.69531,0.7594,0.43752,1.52464,0.89399,1.17695,0.0003169,0.0003169,0.0003169
71,27399.6,1.25286,0.67732,1.11175,0.77033,0.70043,0.75577,0.43469,1.53251,0.89867,1.18136,0.000307,0.000307,0.000307
72,27735.1,1.25267,0.67297,1.11105,0.80155,0.68756,0.75866,0.43622,1.52675,0.89216,1.1797,0.0002971,0.0002971,0.0002971
73,28108,1.24257,0.66659,1.10752,0.79538,0.68451,0.75617,0.43381,1.53357,0.90242,1.18402,0.0002872,0.0002872,0.0002872
74,28510.3,1.2386,0.65861,1.11093,0.80359,0.68479,0.75625,0.43658,1.5314,0.90194,1.1814,0.0002773,0.0002773,0.0002773
75,28906.3,1.23481,0.65872,1.10555,0.79574,0.68882,0.75743,0.43377,1.53455,0.9014,1.18464,0.0002674,0.0002674,0.0002674
76,29327.1,1.22865,0.65232,1.10465,0.79035,0.69721,0.76076,0.43481,1.53391,0.89889,1.18604,0.0002575,0.0002575,0.0002575
77,29652.9,1.22303,0.64776,1.09974,0.79517,0.69383,0.75885,0.43414,1.53085,0.89842,1.18493,0.0002476,0.0002476,0.0002476
78,30045.6,1.22868,0.64318,1.10548,0.78823,0.69194,0.75396,0.43164,1.53488,0.89967,1.18707,0.0002377,0.0002377,0.0002377
79,30445.8,1.21859,0.64062,1.09756,0.79599,0.68177,0.7539,0.43434,1.52984,0.90217,1.18444,0.0002278,0.0002278,0.0002278
80,30832.5,1.22372,0.63825,1.09947,0.78923,0.686,0.75696,0.43506,1.5312,0.89613,1.18269,0.0002179,0.0002179,0.0002179
81,31236,1.20902,0.62966,1.09903,0.79441,0.67747,0.7508,0.4311,1.53572,0.9033,1.18754,0.000208,0.000208,0.000208
82,31597.9,1.20872,0.6277,1.09596,0.79158,0.68506,0.7553,0.4343,1.53214,0.89593,1.18485,0.0001981,0.0001981,0.0001981
83,31980,1.19888,0.61661,1.08637,0.80317,0.68023,0.75339,0.43231,1.53801,0.90025,1.19128,0.0001882,0.0001882,0.0001882
84,32378.8,1.19983,0.62037,1.09206,0.78045,0.68986,0.75014,0.4304,1.53748,0.90471,1.18943,0.0001783,0.0001783,0.0001783
85,32766.1,1.18335,0.61064,1.08274,0.78839,0.6887,0.75339,0.43051,1.5408,0.9055,1.18959,0.0001684,0.0001684,0.0001684
86,33127.1,1.18312,0.60426,1.0838,0.77715,0.69073,0.75309,0.43038,1.5402,0.90064,1.1893,0.0001585,0.0001585,0.0001585
87,33451.7,1.18636,0.6085,1.08322,0.77986,0.68709,0.75425,0.42999,1.54104,0.89856,1.19111,0.0001486,0.0001486,0.0001486
88,33809.7,1.17516,0.59622,1.08038,0.77069,0.69976,0.75272,0.43015,1.54158,0.90016,1.1919,0.0001387,0.0001387,0.0001387
89,34178.8,1.1785,0.59916,1.07966,0.79957,0.67543,0.7502,0.42904,1.54366,0.90599,1.19226,0.0001288,0.0001288,0.0001288
90,34492.8,1.17,0.59367,1.07458,0.78542,0.6833,0.74818,0.4276,1.54439,0.91496,1.19343,0.0001189,0.0001189,0.0001189
91,34821.8,1.16591,0.56651,1.10268,0.79908,0.67117,0.74908,0.4259,1.54883,0.91243,1.19517,0.000109,0.000109,0.000109
92,35097.2,1.15057,0.55085,1.10111,0.79802,0.67437,0.74898,0.42595,1.55036,0.91387,1.19537,9.91e-05,9.91e-05,9.91e-05
93,35403.2,1.14487,0.54682,1.09495,0.773,0.69334,0.74756,0.42686,1.5499,0.91607,1.19479,8.92e-05,8.92e-05,8.92e-05
94,35705,1.1381,0.53813,1.09053,0.78653,0.68073,0.74982,0.4277,1.54709,0.91437,1.19537,7.93e-05,7.93e-05,7.93e-05
95,36009.5,1.13207,0.53114,1.09116,0.78481,0.67942,0.74731,0.42696,1.54801,0.91786,1.19908,6.94e-05,6.94e-05,6.94e-05
96,36332.8,1.13196,0.531,1.08718,0.77825,0.68148,0.74724,0.42577,1.54796,0.91872,1.19981,5.95e-05,5.95e-05,5.95e-05
97,36611.9,1.12412,0.52646,1.08318,0.79519,0.67146,0.74572,0.42592,1.54592,0.92053,1.19956,4.96e-05,4.96e-05,4.96e-05
98,36916.6,1.12207,0.52356,1.08254,0.79551,0.67051,0.74565,0.42621,1.54867,0.92218,1.20207,3.97e-05,3.97e-05,3.97e-05
99,37220.5,1.12097,0.52107,1.0833,0.78283,0.68012,0.74517,0.42599,1.54842,0.92371,1.2023,2.98e-05,2.98e-05,2.98e-05
100,37522.7,1.11312,0.51646,1.07765,0.7852,0.67899,0.74629,0.4254,1.55053,0.92273,1.20424,1.99e-05,1.99e-05,1.99e-05
