Round,loss,alive,min_battery,tau_round_s,tau_status,tau_a2r,tau_r2r,tau_r2g,tau_comp,tau_cumul_s,avg_payload_kb,payload_cumul_kb,e_total,e_a2r,e_r2r,e_r2g,e_comp,e_cumul,lambda_e,lambda_tau,joint_cost_round,joint_cost_cumul,pre_kd_mAP50-95,pre_kd_mAP50,pre_kd_Prec,pre_kd_Rec,kd_active,kd_epochs,kd_box,kd_kl,kd_hidden,kd_attn,kd_weighted,mAP50-95,mAP50,Prec,Rec
28,4.0192,20.0000,1006.2434,950.6589,OK,42.7851,165.5504,165.6609,576.8100,26618.5019,71.1318,1991.6914,140.6692,43.3410,17.0700,33.9569,46.3014,3938.8109,0.0010,0.0010,5.1105,152.6532,0.0516,0.1275,0.1066,0.2518,True,2.0000,3.6148,0.2378,0.0000,0.0000,16.7037,0.0704,0.1696,0.8590,0.1107
29,4.0185,20.0000,988.6084,950.6596,OK,42.7841,165.5504,165.6609,576.8100,27569.1615,71.1318,2062.8232,140.6691,43.3409,17.0700,33.9569,46.3014,4079.4801,0.0010,0.0010,5.1098,157.7630,0.0532,0.1312,0.1084,0.2545,True,2.0000,3.6134,0.2371,0.0000,0.0000,16.6433,0.0713,0.1720,0.8619,0.1118
30,4.0224,20.0000,970.9733,950.6606,OK,42.7827,165.5504,165.6609,576.8100,28519.8221,71.1318,2133.9551,140.6689,43.3406,17.0700,33.9569,46.3014,4220.1490,0.0010,0.0010,5.1137,162.8768,0.0526,0.1305,0.7783,0.1464,True,2.0000,3.6180,0.2370,0.0000,0.0000,16.5955,0.0704,0.1712,0.8612,0.1112
31,4.0225,20.0000,953.3383,950.6615,OK,42.7827,165.5504,165.6609,576.8100,29470.4836,71.1318,2205.0869,140.6690,43.3408,17.0700,33.9569,46.3014,4360.8180,0.0010,0.0010,5.1138,167.9905,0.0519,0.1290,0.7766,0.1468,True,2.0000,3.6180,0.2368,0.0000,0.0000,16.5545,0.0694,0.1690,0.8641,0.1101
32,4.0247,20.0000,935.7031,950.6617,OK,42.7828,165.5504,165.6609,576.8100,30421.1453,71.1318,2276.2188,140.6688,43.3406,17.0700,33.9569,46.3014,4501.4868,0.0010,0.0010,5.1160,173.1066,0.0513,0.1279,0.7765,0.1440,True,2.0000,3.6218,0.2371,0.0000,0.0000,16.5080,0.0690,0.1685,0.8598,0.1094
33,4.0229,20.0000,918.0678,950.6616,OK,42.7825,165.5504,165.6609,576.8100,31371.8069,71.1318,2347.3506,140.6680,43.3398,17.0700,33.9569,46.3014,4642.1548,0.0010,0.0010,5.1143,178.2208,0.0509,0.1271,0.7782,0.1423,True,2.0000,3.6168,0.2369,0.0000,0.0000,16.4618,0.0686,0.1681,0.8603,0.1087
34,4.0237,20.0000,900.4325,950.6614,OK,42.7836,165.5504,165.6609,576.8100,32322.4683,71.1318,2418.4824,140.6670,43.3388,17.0700,33.9569,46.3014,4782.8218,0.0010,0.0010,5.1150,183.3358,0.0510,0.1268,0.7786,0.1437,True,2.0000,3.6131,0.2368,0.0000,0.0000,16.4244,0.0680,0.1668,0.8610,0.1086
35,4.0196,20.0000,882.7973,950.6612,OK,42.7846,165.5504,165.6609,576.8100,33273.1295,71.1318,2489.6143,140.6663,43.3381,17.0700,33.9569,46.3014,4923.4882,0.0010,0.0010,5.1109,188.4467,0.0512,0.1275,0.7782,0.1437,True,2.0000,3.6071,0.2358,0.0000,0.0000,16.3703,0.0675,0.1658,0.8617,0.1080
36,4.0214,20.0000,865.1620,950.6617,OK,42.7851,165.5504,165.6609,576.8100,34223.7912,71.1318,2560.7461,140.6670,43.3387,17.0700,33.9569,46.3014,5064.1551,0.0010,0.0010,5.1127,193.5594,0.0503,0.1254,0.7754,0.1439,True,2.0000,3.6037,0.2352,0.0000,0.0000,16.3125,0.0674,0.1652,0.8779,0.1082
37,4.0168,20.0000,847.5264,950.6624,OK,42.7858,165.5504,165.6609,576.8100,35174.4536,71.1318,2631.8779,140.6678,43.3396,17.0700,33.9569,46.3014,5204.8229,0.0010,0.0010,5.1082,198.6676,0.0500,0.1247,0.7880,0.1430,True,2.0000,3.5997,0.2350,0.0000,0.0000,16.2571,0.0673,0.1647,0.8562,0.1108
